Journalist_Id,Forename,Surname,Address,Town,County,Gender,Date_Of_Birth,Qualifications,Media_Sector,Email_Address,Twitter_Username,  Annual_Earnings  ,Newspaper_Id
691862500,Almeda,Hawsby,0 Spenser Trail,Waterloo,Carlow,Female,12-11-1985,BSC,Television,ahawsby0@gnu.org,ahawsby0,"38,66,296.00",98082914
852895539,Maud,Moggie,65 Moose Center,Annagh,Cavan,Female,16-09-1978,B Eng,Podcast,mmoggie1@google.co.jp,mmoggie1,"81,29,006.00",98082914
292352602,Dulsea,Kneeshaw,3 Longview Plaza,Annagh,Clare,Female,18-12-1985,BA,Television,dkneeshaw2@trellian.com,dkneeshaw2,"39,84,386.00",46906910
270447263,Rivkah,Berrey,9 Porter Center,Abbey,Carlow,Female,10-11-1975,BA,Podcast,rberrey3@1und1.de,rberrey3,"54,16,478.00",98082914
238872863,Wilburt,Varfolomeev,8 Elka Court,Ardue,Clare,Male,02-03-1980,BA,Podcast,wvarfolomeev4@census.gov,wvarfolomeev4,"42,80,258.00",98082914
509657010,Charita,Yarrall,88861 Mesta Junction,Abbey,Clare,Female,06-11-1990,BA,Internet Publications,cyarrall5@goo.gl,cyarrall5,"39,38,256.00",62415463
957111491,Cullin,Lawerence,32726 Reindahl Trail,Ardue,Clare,Male,22-02-1978,BA,Podcast,clawerence6@ehow.com,clawerence6,"75,30,658.00",46906910
826296466,Tori,Swyer-Sexey,339 Village Center,Abbey,Cavan,Female,22-06-1985,B Eng,Print Media,tswyersexey7@woothemes.com,tswyersexey7,"80,33,013.00",98082914
638412146,Francyne,Glasscoo,7 Waubesa Parkway,Abbey,Cork County,Female,04-10-1988,B Comm,Radio,fglasscoo8@unesco.org,fglasscoo8,"9,28,926.00",46906910
225303004,Rusty,Bilney,96 Forest Junction,Abbey,Clare,Male,25-05-1977,B Comm,Print Media,rbilney9@tinyurl.com,rbilney9,"67,31,047.00",98082914
736615345,Maurine,Paty,50568 Roxbury Way,Ardue,Cavan,Female,19-12-1988,BSC,Internet Publications,mpatya@com.com,mpatya,"71,13,523.00",25285988
483356405,Sim,Burchell,4 Boyd Point,Ardue,Clare,Male,13-03-1976,BSC,Podcast,sburchellb@pinterest.com,sburchellb,"63,34,460.00",25285988
361944481,Josy,Splaven,62256 Schlimgen Circle,Annagh,Carlow,Female,19-06-1977,BSC,Television,jsplavenc@dropbox.com,jsplavenc,"49,77,470.00",25285988
873437823,Abdul,Robertshaw,30 Sundown Circle,Waterloo,Clare,Male,14-07-1984,BA,Television,arobertshawd@blogs.com,arobertshawd,"4,39,629.00",25285988
919661524,Bartholomeus,Culleford,36 Doe Crossing Lane,Annagh,Clare,Male,12-10-1986,B Comm,Television,bculleforde@parallels.com,bculleforde,"15,66,047.00",62415463
417808835,Vivi,Camel,3 American Road,Waterloo,Cork County,Female,30-09-1977,BA,Radio,vcamelf@eepurl.com,vcamelf,"82,79,761.00",25285988
292680833,Cly,Iliffe,196 Hermina Way,Abbey,Clare,Male,06-05-1983,BSC,Television,ciliffeg@bbc.co.uk,ciliffeg,"19,68,381.00",25285988
987045518,Ginnifer,Poel,3 Morningstar Center,Annagh,Cork County,Female,06-03-1984,BSC,Print Media,gpoelh@ow.ly,gpoelh,"87,90,224.00",62415463
698559806,Spike,Thursby,98 Center Crossing,Waterloo,Clare,Male,01-01-1979,BSC,Podcast,sthursbyi@businessinsider.com,sthursbyi,"61,17,027.00",62415463
995335072,Bink,Joseff,286 Reindahl Park,Abbey,Clare,Male,05-04-1983,BA,Television,bjoseffj@opera.com,bjoseffj,"80,05,064.00",62415463
